stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
SAOR1,"Sables d'Or",,47.26509240,-1.45587347,,,0,SAOR,1
SAPI2,"Saupin",,47.18401164,-1.47575740,,,0,SAPI,2
SAPI3,"Saupin",,47.18401164,-1.47575740,,,0,SAPI,1
SATR1,"Sautron",,47.26538705,-1.68386822,,,0,SATR,1
SAVA1,"Savarières",,47.20867788,-1.48967395,,,0,SAVA,1
SAVA2,"Savarières",,47.20857489,-1.49006308,,,0,SAVA,1
SAVA3,"Savarières",,47.20823738,-1.48937812,,,0,SAVA,2
SAVA4,"Savarières",,47.20806206,-1.48923342,,,0,SAVA,2
SBAI1,"St-Blaise",,47.16720837,-1.46914664,,,0,SBAI,1
SBAI2,"St-Blaise",,47.16738808,-1.46915941,,,0,SBAI,1
SBLL1,"Sébilleau",,47.20510837,-1.53184154,,,0,SBLL,1
SBLL2,"Sébilleau",,47.20484325,-1.53169021,,,0,SBLL,1
SBSA1,"St-Jean-Baptiste de la Salle",,47.23343329,-1.55993982,,,0,SBSA,1
SBSA2,"St-Jean-Baptiste de la Salle",,47.23336364,-1.55986863,,,0,SBSA,1
SCHW3,"Schweitzer",,47.29486448,-1.49518502,,,0,SCHW,1
SCHW4,"Schweitzer",,47.29469355,-1.49490801,,,0,SCHW,1
SCLE1,"St-Clément",,47.22217173,-1.54669235,,,0,SCLE,1
SCLE2,"St-Clément",,47.22188441,-1.54720031,,,0,SCLE,1
SDAV1,"Square Daviais",,47.21153771,-1.55755218,,,0,SDAV,1
SDAV2,"Square Daviais",,47.21154662,-1.55728847,,,0,SDAV,1
SDON1,"St-Donatien",,47.22941061,-1.54034242,,,0,SDON,1
SDON2,"St-Donatien",,47.22894363,-1.54083745,,,0,SDON,1
SEC58,"Schoelcher",,47.22065473,-1.62828372,,,0,SECH,1
SEC59,"Schoelcher",,47.22049773,-1.62761106,,,0,SECH,1
SECH1,"Schoelcher",,47.22040335,-1.62773627,,,0,SECH,1
SECH2,"Schoelcher",,47.22065473,-1.62828372,,,0,SECH,1
SEIL1,"Seil",,47.19388619,-1.57080276,,,0,SEIL,1
SEIL2,"Seil",,47.19424557,-1.57082900,,,0,SEIL,1
SEIL3,"Seil",,47.19462731,-1.57019618,,,0,SEIL,1
SEIL4,"Seil",,47.19457813,-1.57164610,,,0,SEIL,1
SERC1,"Sercel",,47.26686483,-1.48947308,,,0,SERC,1
SERC2,"Sercel",,47.26770848,-1.48847498,,,0,SERC,1
SEVR1,"Sèvres",,47.18616678,-1.52730200,,,0,SEVR,1
SEVR2,"Sèvres",,47.18676476,-1.52826996,,,0,SEVR,1
SFE58,"St-Félix",,47.23120426,-1.55660399,,,0,SFEL,2
SFEL1,"St-Félix",,47.23156810,-1.55649825,,,0,SFEL,1
SFEL2,"St-Félix",,47.23120426,-1.55660399,,,0,SFEL,1
SFEL3,"St-Félix",,47.23120872,-1.55647209,,,0,SFEL,2
SFRA1,"San-Francisco",,47.21751606,-1.51634714,,,0,SFRA,1
SFRA2,"San-Francisco",,47.21798734,-1.51572013,,,0,SFRA,1
SGRA1,"Sageran",,47.21954128,-1.57122242,,,0,SGRA,2
SHMD1,"St-Hermeland",,47.14426175,-1.69603334,,,0,SHMD,1
SILL1,"Sillon de Bretagne",,47.24555079,-1.60883481,,,0,SILL,1
SILL2,"Sillon de Bretagne",,47.24556434,-1.60843901,,,0,SILL,1
SILL3,"Sillon de Bretagne",,47.24564515,-1.60870951,,,0,SILL,1
SILL4,"Sillon de Bretagne",,47.24565418,-1.60844564,,,0,SILL,1
SINI1,"Sinière",,47.22549653,-1.67835757,,,0,SINI,1
SINI2,"Sinière",,47.22578442,-1.67785029,,,0,SINI,1
SJAC2,"St-Jacques",,47.19608182,-1.53779601,,,0,SJAC,1
SJAC4,"St-Jacques",,47.19401533,-1.53764642,,,0,SJAC,1
SJBO1,"St-Jean-de-Boiseau",,47.19585671,-1.72476572,,,0,SJBO,1
SJBO2,"St-Jean-de-Boiseau",,47.19585207,-1.72489753,,,0,SJBO,1
SJEA1,"St-Jean",,47.19178010,-1.52374341,,,0,SJEA,1
SJEA3,"St-Jean",,47.19178452,-1.52361161,,,0,SJEA,1
SJPO1,"St-Joseph de Porterie",,47.26793641,-1.51680624,,,0,SJPO,1
SJPO2,"St-Joseph de Porterie",,47.26783775,-1.51706376,,,0,SJPO,1
SLAU1,"St-Laurent",,47.22332035,-1.59780817,,,0,SLAU,1
SLAU2,"St-Laurent",,47.22306882,-1.59726083,,,0,SLAU,1
SLCE1,"Ste-Luce",,47.25035223,-1.48498474,,,0,SLCE,1
SLCE2,"Ste-Luce",,47.25034785,-1.48511670,,,0,SLCE,1
SLDA3,"Solidarité",,47.21718879,-1.58744262,,,0,SLDA,1
SLDA4,"Solidarité",,47.21727863,-1.58744921,,,0,SLDA,2
SLEN1,"Suzanne Lenglen",,47.22905717,-1.58804889,,,0,SLEN,1
SLEN2,"Suzanne Lenglen",,47.22905268,-1.58818079,,,0,SLEN,1
SLGE1,"Salorges",,47.20473102,-1.57503087,,,0,SLGE,2
